,Timestamp,Are you openly identified at work as a person with a mental health issue?,Are you self-employed?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever discuss your mental health with your previous employer?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Do you currently have a mental health disorder?,Do you have a family history of mental illness?,Do you have previous employers?,Do you know the options for mental health care available under your employer-provided health coverage?,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have you ever discussed your mental health with coworkers?,Have you ever discussed your mental health with your employer?,Have you ever had a coworker discuss their or another coworker's mental health with you?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Have you had a mental health disorder in the past?,Have you observed or experienced a supportive or well handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,Have your previous employers provided mental health benefits?,How many employees does your company or organization have?,How willing would you be to share with friends and family that you have a mental illness?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?","If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?","If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,"Overall, how much importance did your previous employer place on mental health?","Overall, how much importance did your previous employer place on physical health?","Overall, how much importance does your employer place on mental health?","Overall, how much importance does your employer place on physical health?","Overall, how well do you think the tech industry supports employees with mental health issues?",Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Was your employer primarily a tech company/organization?,Were you aware of the options for mental health care provided by your previous employers?,What country do you live in?,What country do you work in?,What is your age?,What is your gender?,What is your race?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Would you feel comfortable discussing a mental health issue with your coworkers?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?
565,2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,0,1,0,7,4,5,4,3,1,1,1,0,3,5,7,4,1,1,1,52,54,29,1,3,1,1,1,1,2,0,2,2
566,2,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,1,0,2,1,1,0,2,1,8,4,5,1,1,2,1,1,8,8,8,7,3,3,1,0,52,54,55,1,3,1,1,1,1,2,0,2,2
567,2,0,0,0,1,0,0,0,1,2,1,2,0,3,0,0,0,0,1,1,2,1,0,0,0,8,1,8,2,4,2,1,1,10,10,8,10,4,0,1,1,37,38,35,1,3,2,0,2,0,1,3,0,1
568,2,0,0,0,0,0,1,0,3,1,1,0,0,2,0,0,1,0,0,1,1,0,1,2,3,2,1,0,2,1,0,1,1,0,7,0,10,1,1,1,3,40,41,33,1,3,2,0,0,0,1,0,2,1
570,2,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,3,8,4,7,4,3,2,1,1,3,8,3,6,2,0,1,4,52,54,45,1,3,0,0,2,2,1,1,1,1
574,2,0,0,0,0,0,1,0,1,2,1,1,2,1,2,0,0,1,1,1,3,0,0,1,3,8,1,5,2,0,2,1,1,8,10,10,10,3,0,1,3,52,54,37,1,4,1,0,2,2,1,0,1,1
576,2,0,0,1,1,1,2,1,1,1,1,0,2,1,0,1,0,1,1,1,2,1,1,3,0,8,4,6,4,3,2,1,1,4,5,0,2,3,3,1,4,52,54,37,1,3,1,2,1,0,2,0,2,2
577,2,0,0,1,1,0,2,2,1,1,1,1,1,1,2,0,0,0,1,1,1,1,0,3,1,8,4,4,2,3,1,1,1,5,7,5,5,4,3,1,4,52,54,36,1,3,0,0,2,1,1,0,2,1
578,2,0,0,0,0,1,2,1,3,2,1,0,0,1,0,0,0,1,1,2,1,3,0,2,1,6,5,4,1,1,2,1,1,2,4,1,4,2,3,1,0,52,54,45,1,4,1,0,0,0,1,1,1,1
580,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,3,1,0,5,0,3,2,2,2,1,1,1,3,2,5,1,0,1,1,21,20,29,1,3,0,0,2,0,1,1,1,1
581,2,0,0,1,1,1,2,0,3,2,1,2,0,2,0,1,0,1,0,3,0,0,1,1,3,5,4,3,4,3,1,1,1,6,8,6,8,2,2,1,1,50,52,26,1,3,0,0,2,0,2,0,2,2
582,2,0,0,0,0,0,1,0,1,1,1,0,2,2,0,0,1,0,1,3,0,0,3,1,5,0,0,3,2,2,2,1,1,0,5,4,5,2,0,1,1,6,7,44,1,3,1,0,0,0,1,1,1,1
583,2,0,0,1,0,1,1,0,3,2,1,0,2,1,0,0,0,0,0,3,1,0,3,0,0,5,2,4,4,1,2,1,1,2,2,5,5,3,0,1,2,52,54,32,1,3,1,0,2,0,1,0,1,1
584,2,0,0,0,0,1,1,0,2,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,1,7,1,6,1,1,2,1,1,3,3,2,6,1,0,1,1,37,38,34,1,3,1,1,2,2,1,1,1,1
585,2,0,0,1,0,0,1,0,3,2,1,2,1,1,1,1,1,1,0,2,3,3,3,1,2,5,5,5,2,1,1,1,1,2,4,6,7,2,0,0,1,1,1,19,1,3,2,0,1,2,1,0,1,1
587,2,0,0,0,0,0,2,1,1,0,1,2,0,3,0,0,0,0,1,1,1,3,1,2,5,2,0,2,2,2,0,1,1,5,7,4,6,1,2,1,4,52,54,61,1,3,2,0,0,0,1,0,1,1
588,2,0,0,1,0,1,1,0,0,2,1,1,2,1,0,1,0,0,0,0,0,1,0,0,5,8,1,5,1,1,2,1,1,4,5,7,7,1,0,1,0,52,54,44,1,3,0,0,1,0,1,0,2,2
590,2,0,0,0,0,1,1,0,3,0,1,0,1,1,1,0,1,0,1,1,2,1,0,2,0,6,2,4,4,3,2,1,0,3,5,6,8,2,0,1,0,52,54,30,0,3,2,0,0,1,1,0,2,1
591,2,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,1,1,1,0,0,0,0,9,1,0,2,4,2,1,1,0,5,1,5,1,0,1,2,52,54,44,1,6,1,0,0,0,1,1,1,1
593,2,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,3,2,1,0,1,3,8,5,7,2,3,2,1,1,2,5,7,9,3,0,0,1,52,54,33,1,3,0,0,1,1,2,0,2,1
595,2,0,0,0,0,0,1,0,3,0,1,0,1,0,1,0,0,0,0,1,2,1,0,0,0,10,5,6,4,3,2,1,1,3,5,8,8,4,0,1,2,21,20,28,1,3,0,0,1,2,1,1,1,1
596,2,0,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,1,0,1,3,1,0,8,0,5,4,0,2,1,1,0,6,0,2,2,0,1,1,25,24,43,0,3,0,0,2,0,2,0,1,1
597,2,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,1,1,0,0,1,3,3,1,3,0,4,1,1,1,2,1,1,1,5,3,10,1,0,1,1,52,54,42,1,3,0,0,1,0,1,1,1,1
599,2,0,0,0,0,1,2,0,0,1,1,1,1,1,1,1,0,0,0,0,3,1,0,1,3,5,5,5,1,1,1,1,1,3,4,8,7,3,0,1,1,52,54,28,0,3,0,0,1,1,2,0,2,1
600,2,0,0,1,1,1,1,0,1,1,1,1,0,2,0,0,0,0,1,1,0,2,1,1,2,7,4,0,2,4,2,1,1,0,5,5,10,3,1,1,1,52,54,35,0,3,2,0,0,0,1,3,2,1
601,2,0,0,0,0,0,1,0,0,0,1,0,2,2,0,1,0,1,0,0,1,0,0,1,5,5,1,4,1,1,2,1,1,3,6,1,7,2,0,1,1,52,54,31,1,3,0,2,2,0,1,0,0,1
602,2,0,0,0,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,3,2,3,0,2,3,9,5,8,4,3,2,1,1,5,5,9,8,4,2,0,0,52,54,36,1,3,2,0,1,1,1,0,2,1
603,2,0,0,0,0,0,2,2,0,0,1,0,2,2,0,0,1,1,1,1,1,1,0,3,5,8,4,5,3,3,1,1,1,5,0,3,3,3,3,0,0,52,54,33,1,3,2,2,2,1,1,0,2,2
604,2,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,3,3,7,4,7,2,2,2,1,1,5,5,5,5,4,0,1,0,52,54,34,1,3,0,0,1,1,1,0,2,2
605,2,0,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,1,0,0,2,2,0,2,0,4,3,5,1,1,1,1,1,3,7,4,4,2,3,1,0,52,54,28,1,2,0,0,0,0,1,0,2,1
606,2,1,0,0,0,0,1,0,1,1,1,2,0,0,0,1,1,1,1,0,0,2,3,0,4,6,4,3,2,2,0,1,1,8,8,2,2,2,1,1,2,44,45,32,1,3,1,1,2,2,1,3,3,2
608,2,0,0,1,0,0,1,0,1,2,1,0,0,2,0,0,0,0,1,1,1,0,3,0,5,2,4,4,2,4,2,1,1,0,5,0,5,1,0,1,2,52,54,30,0,3,2,0,2,2,1,1,1,1
609,2,0,0,1,0,1,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,1,5,7,3,6,1,1,2,1,1,0,0,4,4,1,0,1,1,4,5,26,1,3,2,0,2,1,2,0,2,2
610,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,1,5,2,5,3,4,4,1,1,1,5,5,5,7,3,3,1,2,28,28,37,0,3,0,0,0,2,1,1,0,2
611,2,1,0,0,0,1,2,0,1,2,1,1,1,1,1,1,1,1,1,1,2,3,0,2,1,10,2,9,2,3,2,1,1,5,5,9,6,3,0,1,0,52,54,35,1,3,2,2,2,2,2,0,1,2
613,2,0,0,0,1,1,3,2,0,0,1,1,1,1,1,0,0,0,0,0,1,1,3,3,0,8,5,6,1,1,1,1,1,10,10,5,5,4,3,1,4,51,53,29,0,3,2,2,1,2,2,3,2,2
615,2,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,2,3,0,1,3,10,4,7,4,3,1,1,1,0,0,8,7,3,1,0,1,51,53,20,0,3,1,2,1,1,1,1,1,1
616,2,0,0,0,0,0,1,0,2,1,1,0,0,2,0,1,0,1,0,2,1,1,3,0,5,2,0,3,1,1,2,1,1,5,5,5,5,1,0,1,2,52,54,41,1,3,2,2,2,0,1,0,2,1
618,2,0,0,0,0,1,1,1,1,2,1,1,1,1,0,0,0,0,1,1,1,3,0,3,3,10,1,8,2,3,1,1,1,5,7,5,5,3,3,1,3,52,54,35,1,3,0,0,2,1,1,1,1,1
619,2,1,0,1,0,1,1,0,3,1,1,0,0,2,0,1,1,1,1,1,2,3,0,2,5,8,2,5,4,3,2,1,1,2,4,7,4,3,0,0,0,52,54,40,0,3,2,0,1,1,2,0,2,1
622,2,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,2,0,0,3,1,8,3,8,1,1,2,1,1,0,5,5,6,2,0,1,4,52,54,29,0,3,0,0,1,0,1,0,2,1
625,2,1,0,1,1,1,2,1,1,1,1,0,1,1,0,1,1,1,1,1,2,3,0,2,1,10,4,8,2,4,1,1,1,4,3,5,5,3,0,1,0,52,54,31,1,3,1,0,2,1,1,0,2,1
628,2,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,3,1,1,3,2,0,0,2,3,0,1,1,0,0,0,0,1,1,0,1,52,54,37,1,3,0,0,0,0,1,1,1,1
629,2,0,0,1,0,0,1,0,0,1,1,1,2,1,0,0,0,1,1,3,3,1,0,2,1,10,5,5,1,1,1,1,1,0,5,5,10,2,0,0,0,52,54,53,0,3,0,0,1,0,2,0,3,2
630,2,0,0,0,0,0,2,0,0,0,1,2,0,3,0,0,0,0,0,0,1,1,3,0,1,8,5,5,1,1,2,1,1,5,5,5,6,3,0,1,2,15,14,32,1,3,2,2,2,2,1,1,1,1
631,2,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,1,1,3,1,1,2,1,4,10,3,4,2,3,2,1,1,1,1,1,3,1,0,0,2,52,54,25,0,4,0,0,2,0,1,1,1,1
632,2,0,0,0,0,0,1,0,1,1,1,2,2,3,0,1,1,1,1,1,0,0,2,0,5,10,0,5,2,4,2,1,1,5,5,4,7,2,0,1,2,52,54,29,0,3,2,0,2,2,1,1,1,1
634,2,0,0,0,1,0,2,1,3,0,1,0,2,1,0,0,0,0,0,1,3,1,1,2,5,9,1,7,2,4,1,1,1,8,7,5,9,4,3,0,0,52,54,28,1,3,2,0,2,2,1,0,2,1
636,2,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,1,0,0,3,2,1,5,4,4,8,3,2,2,1,1,7,7,4,4,2,0,1,2,53,55,35,1,3,0,0,2,2,1,0,2,1
637,2,0,0,1,0,0,1,1,1,1,1,0,2,2,0,0,0,0,1,2,3,1,0,2,0,9,4,8,2,3,2,1,1,5,9,6,8,4,3,1,0,52,54,40,1,3,1,2,2,1,1,0,2,1
638,2,0,0,0,0,0,2,1,0,0,1,0,2,1,0,1,0,1,0,1,1,1,0,2,0,9,4,8,3,4,1,1,1,8,8,5,5,2,3,0,0,52,54,41,1,3,2,0,1,1,2,0,3,2
639,2,0,0,1,1,1,2,1,1,0,1,1,1,1,0,1,0,0,1,1,2,3,2,2,5,10,0,2,3,3,2,1,1,3,7,5,5,3,2,1,0,52,54,34,1,3,0,0,0,2,1,0,2,1
640,2,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,1,1,1,1,3,1,2,5,2,2,2,2,2,2,1,1,2,2,3,3,3,1,1,3,52,54,31,0,3,0,0,2,2,1,1,1,2
642,2,0,0,0,0,1,0,1,3,1,1,1,1,1,1,1,0,1,1,3,0,2,0,0,2,8,4,4,1,1,1,1,1,5,9,8,8,2,0,1,2,52,54,27,0,0,2,0,1,2,1,0,2,1
643,2,0,0,0,1,0,1,2,0,1,1,0,1,1,0,1,0,1,1,1,1,1,3,3,1,6,4,6,4,3,1,1,1,8,8,8,6,3,3,1,4,52,54,42,0,3,0,0,2,1,1,0,2,1
645,2,0,0,1,1,1,2,2,1,1,1,0,0,1,0,1,1,0,1,1,2,2,1,1,5,8,2,5,2,2,2,1,1,2,2,3,3,3,0,0,3,52,54,27,0,0,0,0,2,2,2,3,2,2
646,2,0,0,1,0,0,2,1,2,1,1,0,2,1,0,0,0,1,1,1,3,3,0,2,3,5,3,8,4,3,1,1,1,4,4,6,6,3,3,1,0,51,53,37,0,3,1,2,1,1,1,0,2,1
647,2,0,0,0,0,0,1,0,1,2,1,1,1,1,1,1,1,1,0,3,2,0,2,1,0,2,5,8,2,4,1,1,1,0,0,8,9,3,1,1,1,51,53,30,0,3,2,0,1,0,1,1,1,1
648,2,0,0,0,0,0,2,1,3,1,1,0,2,1,2,1,0,1,0,0,3,0,2,3,3,8,3,7,2,3,1,1,1,6,8,5,7,3,3,1,0,52,54,39,1,3,2,0,2,1,1,0,2,1
649,2,0,0,1,1,1,1,0,1,1,1,2,0,3,0,0,0,0,1,1,2,2,2,2,5,7,1,6,2,3,2,1,1,7,8,6,6,3,0,1,0,52,54,30,0,3,0,0,2,2,2,0,2,2
650,2,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,1,0,0,3,0,0,0,5,7,4,8,1,1,2,1,1,8,8,7,7,4,0,1,2,31,31,31,1,3,2,2,1,1,2,3,3,2
651,2,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,2,2,2,5,10,1,9,2,4,2,1,1,7,9,8,8,3,1,1,2,51,53,46,1,3,0,1,2,0,1,0,2,2
652,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,2,2,9,3,4,4,4,1,1,1,5,5,5,9,3,0,0,0,52,54,45,0,3,0,0,2,2,1,1,1,1
654,2,0,0,0,0,0,1,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,3,1,0,5,5,5,1,1,2,1,1,0,4,8,8,5,0,1,2,52,54,41,1,3,0,0,0,1,2,1,1,2
655,2,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,1,6,4,5,4,3,1,1,1,5,7,5,8,3,0,0,2,52,54,37,1,3,0,0,1,2,1,1,1,1
656,2,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,3,1,0,0,0,9,5,8,1,1,1,1,1,4,4,7,7,4,0,1,2,52,54,33,0,4,0,0,0,0,1,1,1,1
657,2,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,3,0,10,5,7,2,4,1,1,1,1,5,9,8,3,3,1,4,52,54,28,2,3,2,0,2,1,1,0,1,1
658,2,1,0,1,1,1,2,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,1,3,0,10,1,7,2,4,2,1,0,1,2,3,3,2,1,0,0,6,7,29,0,3,1,1,1,1,1,0,2,1
660,2,0,0,1,0,0,2,1,1,1,1,0,1,1,1,1,0,0,1,3,2,0,0,2,3,8,1,7,4,4,2,1,1,6,6,5,3,2,2,1,0,52,54,38,1,3,2,0,1,2,1,1,2,1
661,2,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,3,0,0,1,1,3,4,6,2,0,2,1,0,2,2,4,3,3,0,1,0,52,54,28,0,3,2,0,2,2,2,0,2,1
662,2,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,3,3,1,2,3,9,1,6,2,4,1,1,1,3,8,8,8,2,0,0,4,52,54,30,1,3,2,0,1,1,1,0,2,1
663,2,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,0,1,5,9,5,10,2,4,2,1,1,5,7,9,9,4,1,0,1,51,53,25,0,3,2,0,1,1,2,0,2,1
664,2,0,0,1,0,1,1,1,3,1,1,1,1,1,0,1,1,1,1,1,1,2,0,2,3,10,0,8,2,3,2,1,1,0,3,1,4,1,0,1,0,52,54,44,1,3,0,0,1,0,2,3,2,1
666,2,0,0,1,0,0,1,0,3,1,1,0,2,1,0,1,0,1,1,1,3,3,1,0,3,7,5,4,2,4,2,1,1,0,5,5,7,2,0,1,2,52,54,41,0,3,2,0,1,2,2,0,1,1
668,2,0,0,0,0,1,1,0,1,2,1,1,2,1,0,1,0,1,1,1,2,0,0,2,1,8,1,5,2,4,2,1,1,5,7,7,7,3,0,1,2,52,54,37,1,3,2,2,2,2,1,0,2,1
670,2,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,3,0,1,3,2,3,6,4,5,2,3,1,1,1,1,3,5,10,3,0,1,0,52,54,43,1,3,1,2,2,2,1,0,2,1
671,2,1,0,1,0,1,1,0,3,1,1,2,1,0,1,0,1,0,1,1,2,0,0,2,4,8,4,7,2,4,1,1,1,0,3,8,8,1,0,0,3,52,54,44,0,3,2,0,2,1,0,0,2,1
672,2,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,0,0,2,2,9,4,6,2,4,1,1,1,4,4,6,5,3,3,1,4,52,54,38,1,3,0,0,2,1,1,0,2,1
673,2,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,2,4,4,4,4,1,4,1,1,1,5,7,5,6,3,0,0,0,52,54,55,1,4,2,2,2,2,1,1,2,1
674,2,0,0,0,0,0,1,0,3,2,1,0,2,3,0,0,1,0,0,2,0,1,0,1,1,0,5,0,2,1,2,1,1,0,0,4,10,1,1,1,1,21,20,25,1,3,2,0,0,0,2,1,1,2
676,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,3,0,1,9,5,8,1,1,2,1,1,2,3,7,7,3,0,1,2,52,54,39,1,3,0,0,1,2,1,1,0,1
677,2,0,0,1,0,0,0,1,3,2,1,1,1,1,2,0,0,0,0,1,1,3,0,2,3,3,2,4,4,3,2,1,1,3,5,7,7,2,0,1,3,52,54,23,1,3,2,0,2,2,1,0,2,1
678,2,0,0,0,0,0,1,0,1,2,1,0,0,1,0,1,1,1,1,1,3,1,0,2,0,10,3,5,4,4,2,1,1,5,7,7,7,3,0,1,2,52,54,43,1,3,0,0,2,2,2,0,0,2
680,2,0,0,0,0,0,1,0,3,1,1,2,0,0,0,1,0,1,0,3,3,1,0,0,5,7,4,8,1,1,2,1,1,1,3,4,5,3,0,0,2,52,54,25,1,3,1,2,1,1,1,0,1,1
681,2,0,0,0,0,0,1,0,2,2,1,1,0,1,0,0,1,1,0,2,0,0,0,0,5,0,5,6,1,1,1,1,1,2,0,5,2,3,0,1,2,52,54,36,1,3,2,0,0,2,1,1,1,1
682,2,0,0,0,0,0,1,1,2,0,1,1,0,1,0,0,0,0,1,3,3,3,0,1,1,6,5,7,2,3,1,1,1,3,5,3,5,3,3,1,3,52,54,33,1,3,1,0,1,1,2,0,2,2
683,2,0,0,0,0,0,2,1,0,1,1,0,2,1,0,0,0,1,0,0,3,3,0,2,1,8,4,5,1,1,2,1,1,6,9,5,5,3,3,1,0,52,54,34,1,3,1,2,1,1,1,0,2,1
684,2,0,0,0,0,1,1,0,2,0,1,1,1,1,1,0,0,1,0,2,1,1,0,0,3,7,4,5,1,1,1,1,1,3,6,7,8,2,0,1,2,52,54,28,1,3,0,0,2,2,1,0,2,1
688,2,0,0,1,0,1,2,1,2,1,1,0,2,2,0,0,0,1,0,0,3,3,1,3,0,6,4,4,1,1,2,1,1,5,5,5,5,1,0,1,0,52,54,29,1,3,0,0,0,0,1,0,2,1
689,2,1,0,0,0,0,1,0,3,1,1,0,1,2,0,1,0,1,0,3,2,3,0,2,3,7,5,8,2,4,2,1,1,4,6,5,5,3,0,0,0,52,54,31,1,3,2,2,2,1,1,0,2,1
690,2,0,0,1,1,1,3,2,1,0,1,1,2,1,1,1,1,0,1,1,2,3,1,3,3,10,5,10,4,0,1,1,1,7,7,7,7,2,3,1,0,52,54,49,1,3,2,2,1,1,2,0,2,2
691,2,0,0,0,0,0,1,0,0,1,1,0,2,1,2,0,0,0,1,0,3,3,1,3,1,7,5,7,1,1,1,1,1,5,5,5,5,2,3,1,0,52,54,43,1,3,1,0,0,2,1,1,0,1
693,2,0,0,1,1,1,3,2,0,1,1,1,2,1,2,1,0,1,1,1,1,1,0,3,1,7,4,6,2,3,2,1,1,9,9,3,4,4,0,1,4,52,54,35,0,3,1,0,2,2,1,0,3,2
694,2,0,0,1,0,1,1,0,0,1,1,0,2,2,0,1,0,1,1,1,1,1,0,0,0,10,5,5,3,3,1,1,1,5,7,7,7,3,2,1,2,51,53,42,1,3,1,1,1,1,2,0,2,1
695,2,0,0,0,0,0,1,0,1,0,1,0,2,1,0,0,0,0,1,2,0,0,2,0,3,4,4,5,2,4,2,1,1,5,7,5,6,3,0,0,2,52,54,38,1,3,2,0,0,1,1,1,2,1
696,2,0,0,0,0,0,0,0,3,0,1,0,1,2,0,1,0,1,1,2,1,2,2,1,3,5,1,5,1,1,2,1,1,0,0,5,5,1,0,1,1,51,53,41,1,3,0,0,2,2,1,1,0,2
697,2,0,0,1,1,0,1,0,1,1,1,1,2,1,2,1,1,0,1,1,2,2,3,3,3,7,2,2,2,4,1,1,1,3,7,6,8,2,2,0,4,52,54,37,0,3,0,0,2,1,1,0,2,1
698,2,0,0,0,1,0,1,0,1,1,1,0,1,2,1,0,0,0,1,1,2,0,2,2,0,10,4,8,4,1,1,1,1,8,8,10,8,4,3,1,0,52,54,25,1,3,0,0,2,1,1,1,3,2
699,2,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,2,0,1,0,0,1,9,4,10,2,3,1,1,1,5,7,7,9,3,0,1,2,52,54,33,1,3,2,0,1,1,1,0,3,1
700,2,0,0,0,0,0,1,0,0,1,1,0,2,2,1,0,0,1,1,3,0,0,2,1,1,7,4,7,1,1,2,1,1,3,3,6,7,3,0,0,1,52,54,35,2,3,0,0,1,1,2,1,2,2
701,2,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,3,10,2,5,2,3,2,1,1,0,0,5,5,4,1,0,1,52,54,32,0,3,0,0,2,0,1,1,1,2
702,2,0,0,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,2,3,5,2,7,2,3,2,1,1,9,7,7,7,3,0,1,0,52,54,40,0,3,2,0,2,1,1,0,2,1
703,2,0,0,0,0,0,2,0,0,0,1,1,2,1,2,0,0,1,1,1,3,1,0,0,1,8,4,8,1,3,2,1,1,6,6,6,7,4,0,1,0,52,54,34,1,3,2,0,1,2,2,0,2,2
704,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,2,0,3,4,4,3,1,1,1,1,1,0,2,3,4,2,0,0,2,52,54,28,1,3,0,0,0,1,1,1,0,2
705,2,1,0,1,1,1,1,1,1,1,1,1,2,1,0,0,1,0,1,1,1,2,3,2,3,2,3,1,2,2,2,1,1,0,10,3,9,2,2,1,0,52,54,49,1,3,2,0,0,0,1,0,2,1
706,2,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,2,1,8,5,9,4,3,1,1,1,1,3,7,5,3,0,1,0,52,54,33,0,3,0,0,1,1,2,0,2,1
707,2,0,0,1,0,0,1,0,3,1,1,1,0,1,0,1,0,0,1,1,3,0,0,3,0,5,5,7,2,4,1,1,1,6,7,7,5,4,0,0,4,52,54,36,1,3,1,0,2,0,1,0,1,1
708,2,1,0,1,0,0,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,3,0,2,3,10,0,8,2,3,0,1,1,2,7,2,8,2,0,1,0,52,54,37,1,3,2,0,2,2,2,3,2,1
709,2,0,0,0,0,1,1,0,1,1,1,0,2,2,0,0,0,1,1,1,3,3,1,2,5,7,0,3,2,2,2,1,1,0,0,3,0,2,0,1,3,52,54,39,1,3,2,0,2,2,1,1,2,1
710,2,0,0,1,1,1,2,2,3,1,1,0,0,2,0,1,0,1,1,3,3,3,2,2,1,5,3,6,2,4,2,1,1,6,6,2,4,2,2,1,0,52,54,49,0,3,0,0,2,0,1,3,3,2
711,2,0,0,1,1,1,2,0,3,1,1,2,0,3,0,0,0,0,1,1,3,0,0,2,5,6,4,6,2,4,2,1,1,2,5,5,6,2,2,1,4,51,53,29,1,3,0,0,2,2,1,0,2,1
712,2,0,0,1,1,1,1,0,3,0,1,0,2,2,1,1,1,1,1,2,2,3,0,1,1,5,5,10,1,4,2,1,1,4,7,8,5,4,0,1,2,51,53,29,1,3,2,2,1,1,0,0,2,1
713,2,0,0,0,0,0,2,1,2,0,1,0,0,1,0,0,0,0,0,1,1,1,3,2,0,4,1,7,1,1,2,1,1,4,7,4,3,3,1,0,0,52,54,25,1,3,2,0,2,2,1,1,1,1
715,2,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,3,2,0,1,5,10,1,5,2,3,2,1,1,5,5,10,10,4,0,0,1,52,54,21,1,3,2,0,1,1,2,3,3,2
716,2,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,5,10,5,10,1,1,1,1,1,5,5,0,0,5,3,0,0,52,54,43,1,3,0,0,1,1,2,0,1,2
